pg_column,postgres_type,nullable,suggested_airtable_type,airtable_field_name_suggestion,sync_notes
id,integer,NO,Number,id,PostgreSQL primary key; use as upsert key (same pattern as Users / ClearCutReports in PR #218).
area_hectare,double precision,NO,Number,area_hectare,Area in hectares.
location,geometry(Point;4326),NO,Long text,location_geojson,"In SQL use ST_AsGeoJSON(location)::text. Airtable has no native PostGIS type."
boundary,geometry(MultiPolygon;4326),NO,Long text,boundary_geojson,"In SQL use ST_AsGeoJSON(boundary)::text."
created_at,timestamp without time zone,NO,Date or Single line text,created_at,Prefer ISO text from created_at::text for parity with existing sync script.
updated_at,timestamp without time zone,NO,Date or Single line text,updated_at,
observation_start_date,timestamp without time zone,NO,Date or Single line text,observation_start_date,
observation_end_date,timestamp without time zone,NO,Date or Single line text,observation_end_date,
bdf_resinous_area_hectare,double precision,YES,Number,bdf_resinous_area_hectare,
bdf_deciduous_area_hectare,double precision,YES,Number,bdf_deciduous_area_hectare,
bdf_mixed_area_hectare,double precision,YES,Number,bdf_mixed_area_hectare,
bdf_poplar_area_hectare,double precision,YES,Number,bdf_poplar_area_hectare,
ecological_zoning_area_hectare,double precision,YES,Number,ecological_zoning_area_hectare,DB check: sum of BDF areas and ecological zoning vs area_hectare.
report_id,integer,NO,Number,report_id,FK to clear_cuts_reports.id; in Airtable you can use a Number or a Link to the reports table.
