SITECODE,SITENAME,Aire_km2,Couches
FR1110025,Etang de Saint Quentin,0.9613631913035322,ZPS
FR1110795,Massif de Fontainebleau,280.59225182799577,ZPS
FR1112001,Massif de Villefermoy,47.834701540728716,ZPS
FR1112002,Bassée et plaines adjacentes,276.0596687732635,ZPS
FR1112003,Boucles de la Marne,26.380880168989815,ZPS
FR1112011,Massif de Rambouillet et zones humides proches,170.87130264548964,ZPS
FR1112013,Sites de Seine-Saint-Denis,11.566408674279351,ZPS
FR2110001,Lacs de la forêt d'Orient,236.14969115032105,ZPS
FR2110002,Lac du Der,65.26850327377112,ZPS
FR2110091,Étang de la Horre,14.851568442498014,ZPS
FR2112001,"Herbages et cultures des vallées de la Voire, de l'Héronne et de la Laines",22.809432197917204,ZPS
FR2112002,Herbages et cultures autour du lac du Der,21.703099204188934,ZPS
FR2112003,Étangs de Belval et d'Etoges,2.290433401717202,ZPS
FR2112004,Confluence des vallées de la Meuse et de la Chiers,36.5247831601709,ZPS
FR2112005,Vallée de l'Aisne en aval de Château Porcien,14.53740211425177,ZPS
FR2112006,Confluence des vallées de l'Aisne et de l'Aire,21.500496176171378,ZPS
FR2112008,Vallée de l'Aisne à Mouron,3.8640492961186985,ZPS
FR2112009,Étangs d'Argonne,143.0039123302399,ZPS
FR2112010,Barrois et forêt de Clairvaux,410.97505333073303,ZPS
FR2112011,Bassigny,784.1448756124861,ZPS
FR2112012,"Marigny, Superbe, vallée de l'Aube",45.21348766154314,ZPS
FR2112013,Plateau ardennais,755.8234300321576,ZPS
FR2210026,Marais d'Isle,0.45147426100167726,ZPS
FR2210068,Estuaires picards : Baie de Somme et d'Authie,151.98562178148902,ZPS
FR2210104,Moyenne vallée de l'Oise,56.83792925028985,ZPS
FR2212001,"Forêts picardes : Compiègne, Laigue, Ourscamps",246.17832764381134,ZPS
FR2212002,Forêts picardes : massif de Saint-Gobain,117.57212569368744,ZPS
FR2212004,Forêts de Thiérache : Hirson et Saint-Michel,73.9254653625322,ZPS
FR2212005,Forêts picardes : massif des trois forêts et bois du Roi,135.9883019813739,ZPS
FR2212006,Marais de la Souche,24.073836765636276,ZPS
